epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,18859.6,0.64979,0.9652,1.13478,0.74026,0.76152,0.83311,0.73841,0.52932,0.66397,1.14632,0.003268,0.003268,0.003268
70,19148.3,0.64538,0.96838,1.1338,0.73991,0.76255,0.8331,0.7383,0.52916,0.6639,1.14615,0.003169,0.003169,0.003169
71,19436.2,0.64411,0.95318,1.13099,0.74202,0.76065,0.83318,0.73894,0.52898,0.66347,1.14602,0.00307,0.00307,0.00307
72,19720.7,0.64329,0.94832,1.13128,0.72806,0.78171,0.83345,0.73912,0.52899,0.66313,1.14608,0.002971,0.002971,0.002971
73,20002.5,0.64231,0.94846,1.13264,0.73595,0.77229,0.83341,0.73924,0.52893,0.66314,1.14607,0.002872,0.002872,0.002872
74,20285.7,0.64042,0.94575,1.13021,0.7404,0.76586,0.83356,0.7393,0.52863,0.66292,1.14585,0.002773,0.002773,0.002773
75,20570.8,0.63564,0.93886,1.12708,0.73725,0.77212,0.83342,0.73942,0.52828,0.66258,1.14548,0.002674,0.002674,0.002674
76,20860,0.63668,0.93275,1.12721,0.73674,0.7715,0.83375,0.73968,0.5283,0.66224,1.14546,0.002575,0.002575,0.002575
77,21149.5,0.6342,0.92823,1.12794,0.73879,0.76932,0.83395,0.73979,0.52816,0.66187,1.14529,0.002476,0.002476,0.002476
78,21432.4,0.63385,0.92617,1.12571,0.74046,0.76934,0.8343,0.73992,0.52796,0.66153,1.14504,0.002377,0.002377,0.002377
79,21840.8,0.63288,0.92805,1.1259,0.73858,0.77058,0.83458,0.73992,0.52774,0.66158,1.1449,0.002278,0.002278,0.002278
80,22259.9,0.62825,0.91045,1.12109,0.73596,0.77365,0.83481,0.74022,0.5278,0.66122,1.14498,0.002179,0.002179,0.002179
81,22725.1,0.63033,0.92032,1.12161,0.73263,0.77977,0.83501,0.7408,0.52773,0.66098,1.1449,0.00208,0.00208,0.00208
82,23161.7,0.62661,0.90733,1.1209,0.73601,0.77385,0.8352,0.74062,0.5276,0.66069,1.14486,0.001981,0.001981,0.001981
83,23549.2,0.62145,0.90577,1.11872,0.73635,0.77423,0.83516,0.74067,0.52743,0.66039,1.14459,0.001882,0.001882,0.001882
84,23865.5,0.62538,0.90147,1.12185,0.73342,0.78183,0.83536,0.74109,0.52726,0.66018,1.14445,0.001783,0.001783,0.001783
85,24176.7,0.62333,0.90314,1.11924,0.73294,0.78076,0.83538,0.74112,0.52691,0.66049,1.14414,0.001684,0.001684,0.001684
86,24495.8,0.61878,0.89431,1.11694,0.72864,0.78588,0.83555,0.74125,0.52688,0.66037,1.14403,0.001585,0.001585,0.001585
87,24807.4,0.62006,0.8921,1.1178,0.7293,0.78561,0.83561,0.74138,0.5269,0.66028,1.14401,0.001486,0.001486,0.001486
88,25071.2,0.61513,0.88164,1.11114,0.73217,0.78191,0.83572,0.74146,0.5268,0.66055,1.14382,0.001387,0.001387,0.001387
89,25334.3,0.61284,0.87906,1.11348,0.73169,0.78175,0.8357,0.74148,0.52674,0.66064,1.14385,0.001288,0.001288,0.001288
90,25595.2,0.60985,0.87581,1.11226,0.729,0.78502,0.83576,0.74196,0.52663,0.66084,1.14372,0.001189,0.001189,0.001189
91,25891.8,0.43366,0.47278,1.07029,0.72811,0.78751,0.8359,0.74216,0.52637,0.66058,1.14353,0.00109,0.00109,0.00109
92,26150.3,0.42773,0.45268,1.06509,0.73423,0.78104,0.83595,0.74235,0.52622,0.66073,1.14343,0.000991,0.000991,0.000991
93,26407,0.42418,0.43815,1.05928,0.73211,0.78373,0.83624,0.74255,0.52592,0.66087,1.14318,0.000892,0.000892,0.000892
94,26663.3,0.41984,0.43117,1.05862,0.73676,0.77691,0.83655,0.74287,0.52565,0.66093,1.14304,0.000793,0.000793,0.000793
95,26919.3,0.41659,0.419,1.05351,0.73489,0.77921,0.83679,0.74296,0.52539,0.6609,1.14286,0.000694,0.000694,0.000694
96,27180.7,0.41299,0.40566,1.04879,0.73402,0.78177,0.83681,0.74321,0.52504,0.66099,1.14258,0.000595,0.000595,0.000595
97,27438.7,0.4107,0.39393,1.0477,0.73926,0.7765,0.83698,0.74353,0.52472,0.66112,1.14231,0.000496,0.000496,0.000496
98,27695.2,0.40857,0.38563,1.04343,0.7355,0.77945,0.83702,0.74376,0.5244,0.66158,1.14209,0.000397,0.000397,0.000397
99,27952.2,0.40489,0.37962,1.04235,0.73549,0.78088,0.83705,0.74382,0.52403,0.66184,1.14189,0.000298,0.000298,0.000298
100,28209.2,0.40178,0.36904,1.03997,0.73856,0.77805,0.83719,0.74415,0.52372,0.66234,1.1417,0.000199,0.000199,0.000199
