epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,895.239,0.51995,0.47618,0.91123,0.43879,0.69759,0.63853,0.49924,0.83545,1.33879,1.14763,0.000450046,0.000450046,0.000450046
155,901.035,0.50073,0.47213,0.92382,0.49866,0.64421,0.59002,0.44919,0.86657,1.43299,1.18504,0.000447046,0.000447046,0.000447046
156,906.853,0.49733,0.47623,0.89632,0.47904,0.68314,0.58402,0.44691,0.88103,1.42886,1.21722,0.000444046,0.000444046,0.000444046
157,912.692,0.49418,0.4443,0.90051,0.43571,0.70415,0.58707,0.44715,0.89639,1.41487,1.19699,0.000441047,0.000441047,0.000441047
158,918.491,0.48344,0.45978,0.90327,0.45917,0.68594,0.58893,0.44967,0.88833,1.44316,1.18357,0.000438047,0.000438047,0.000438047
159,924.433,0.51968,0.47401,0.90629,0.43632,0.64797,0.56297,0.4381,0.86042,1.52247,1.14704,0.000435047,0.000435047,0.000435047
160,930.305,0.49195,0.46172,0.88646,0.40472,0.62387,0.52523,0.40332,0.86471,1.85321,1.16533,0.000432048,0.000432048,0.000432048
161,936.391,0.51067,0.48929,0.91387,0.54516,0.56303,0.56354,0.42366,0.90673,1.64087,1.17936,0.000429048,0.000429048,0.000429048
162,942.31,0.51374,0.48142,0.90826,0.53199,0.58392,0.61043,0.46613,0.90983,1.27462,1.18876,0.000426048,0.000426048,0.000426048
163,948.173,0.47342,0.41985,0.88144,0.63001,0.59749,0.59195,0.44388,0.9193,1.37754,1.21689,0.000423049,0.000423049,0.000423049
164,954.029,0.53087,0.47899,0.92198,0.55556,0.5817,0.57538,0.4296,0.91154,1.51136,1.20409,0.000420049,0.000420049,0.000420049
165,959.831,0.49112,0.44097,0.89104,0.49979,0.61141,0.59329,0.45163,0.88508,1.43202,1.19948,0.000417049,0.000417049,0.000417049
166,965.636,0.48596,0.4494,0.90541,0.44884,0.56764,0.57522,0.44246,0.86704,1.5439,1.16585,0.000414049,0.000414049,0.000414049
167,971.458,0.51561,0.50049,0.91548,0.44743,0.60581,0.55856,0.43054,0.88319,1.74892,1.15462,0.00041105,0.00041105,0.00041105
168,977.244,0.4845,0.4398,0.90748,0.36904,0.66243,0.54515,0.42292,0.8714,1.78494,1.14381,0.00040805,0.00040805,0.00040805
169,983.042,0.48944,0.47986,0.90171,0.4593,0.55439,0.556,0.43296,0.84295,1.63264,1.13187,0.00040505,0.00040505,0.00040505
170,988.884,0.48316,0.44943,0.89734,0.49468,0.5928,0.58574,0.4622,0.84502,1.46089,1.16389,0.000402051,0.000402051,0.000402051
171,994.796,0.47548,0.4584,0.88497,0.49062,0.64728,0.59546,0.47381,0.85573,1.49683,1.16119,0.000399051,0.000399051,0.000399051
172,1000.96,0.48759,0.45665,0.89697,0.49717,0.53469,0.63957,0.50253,0.85753,1.29907,1.14708,0.000396051,0.000396051,0.000396051
173,1007.25,0.4869,0.47185,0.89748,0.5053,0.7069,0.63418,0.48773,0.89844,1.31955,1.18928,0.000393052,0.000393052,0.000393052
174,1013.49,0.50591,0.47377,0.91582,0.51908,0.73897,0.67352,0.527,0.8588,1.27381,1.15371,0.000390052,0.000390052,0.000390052
175,1019.27,0.49751,0.47033,0.90586,0.55472,0.67899,0.69557,0.54709,0.84612,1.30734,1.14835,0.000387052,0.000387052,0.000387052
176,1025.29,0.50163,0.43897,0.90316,0.41923,0.65678,0.60897,0.47655,0.84772,1.57546,1.12387,0.000384052,0.000384052,0.000384052
177,1031.18,0.51911,0.48698,0.91742,0.49831,0.57956,0.58726,0.46427,0.86568,1.44608,1.13258,0.000381053,0.000381053,0.000381053
178,1037.1,0.48562,0.46524,0.89984,0.43855,0.63411,0.5826,0.45144,0.87164,1.4605,1.13852,0.000378053,0.000378053,0.000378053
179,1042.97,0.4713,0.42153,0.90497,0.38561,0.66598,0.56451,0.44548,0.85473,1.56497,1.12761,0.000375053,0.000375053,0.000375053
180,1048.88,0.45317,0.42036,0.87675,0.4484,0.62674,0.58391,0.4623,0.88002,1.48845,1.17268,0.000372054,0.000372054,0.000372054
181,1054.76,0.50373,0.46835,0.92065,0.50131,0.66796,0.59425,0.46683,0.9089,1.50225,1.18147,0.000369054,0.000369054,0.000369054
182,1060.67,0.4844,0.48192,0.92584,0.41436,0.60396,0.56983,0.4279,0.9408,1.66058,1.23765,0.000366054,0.000366054,0.000366054
